date,Opening price,Highest price,Lowest price,Closing price,Volume(share),Turnover(RMB),Ups and downs,Change(%)
1991-09-27,183.12,183.89,181.19,181.82,3372800,20416000.0,-0.51,-0.28
1991-09-30,180.28,181.95,180.27,180.92,2559400,22336000.0,-0.9,-0.49
1991-10-03,181.55,182.48,179.8,182.48,1874100,12329000.0,1.56,0.86
1991-10-04,184.29,184.29,183.59,184.29,736000,5039000.0,1.81,0.99
1991-10-07,185.95,186.0,185.41,186.0,1136900,7291000.0,1.71,0.93
1991-10-08,187.59,187.61,186.0,187.49,2374500,15241000.0,1.49,0.8
1991-10-09,188.49,189.12,186.31,189.12,2098900,13440000.0,1.63,0.87
1991-10-10,190.71,191.01,189.12,191.01,663800,4333000.0,1.89,1.0
1991-10-11,192.84,192.88,191.01,192.85,1098100,7251000.0,1.84,0.96
1991-10-14,194.06,194.69,192.32,194.67,2149300,13948000.0,1.82,0.94
1991-10-15,196.58,196.61,194.67,196.61,1100200,7265000.0,1.94,1.0
1991-10-16,198.51,198.57,196.61,198.57,956200,6273000.0,1.96,1.0
1991-10-17,200.5,200.51,198.57,200.51,607700,4136000.0,1.94,0.98
1991-10-18,202.5,202.51,200.51,202.51,296800,2384000.0,2.0,1.0
1991-10-21,204.53,204.53,202.51,204.53,353700,2514000.0,2.02,1.0
1991-10-22,206.06,206.53,204.53,206.53,212800,1521000.0,2.0,0.98
1991-10-23,208.06,208.25,206.53,208.25,262300,1980000.0,1.72,0.83
1991-10-24,210.2,210.2,208.25,210.07,1935700,13174000.0,1.82,0.87
1991-10-25,210.34,211.97,209.71,211.86,3265000,22263000.0,1.79,0.85
1991-10-28,213.5,213.98,211.86,213.98,321700,2357000.0,2.12,1.0
1991-10-29,215.63,215.78,213.98,215.78,269700,2069000.0,1.8,0.84
1991-10-30,216.37,216.43,215.78,216.43,238000,1814000.0,0.65,0.3
1991-10-31,218.59,218.6,216.43,218.6,392900,2914000.0,2.17,1.0
1991-11-01,220.71,220.72,218.6,220.72,590600,4313000.0,2.12,0.97
1991-11-04,222.77,222.77,220.79,222.77,447400,3352000.0,2.05,0.93
1991-11-05,224.44,224.65,222.77,224.65,280500,2225000.0,1.88,0.84
1991-11-06,226.83,226.88,224.65,226.88,284800,2188000.0,2.23,0.99
1991-11-07,228.93,228.93,226.88,228.93,483300,4085000.0,2.05,0.9
1991-11-08,230.99,231.22,228.93,231.22,1440600,11039000.0,2.29,1.0
1991-11-11,233.48,233.55,231.22,233.55,247400,2130000.0,2.33,1.01
1991-11-12,235.75,235.8,233.55,235.8,89500,914000.0,2.25,0.96
1991-11-13,236.51,236.67,235.8,236.67,79900,879000.0,0.87,0.37
1991-11-14,237.39,237.45,236.67,237.45,86200,940000.0,0.78,0.33
1991-11-15,238.25,238.25,237.45,238.25,205800,1914000.0,0.8,0.34
1991-11-18,240.04,240.62,238.25,240.62,188500,1534000.0,2.37,0.99
1991-11-19,242.24,242.24,240.62,242.24,231000,2040000.0,1.62,0.67
1991-11-20,244.5,244.5,242.24,244.5,232500,1929000.0,2.26,0.93
1991-11-21,246.26,246.31,244.5,246.31,215500,2030000.0,1.81,0.74
1991-11-22,248.24,248.53,246.31,248.53,213300,1954000.0,2.22,0.9
1991-11-25,250.84,250.85,248.53,250.85,233100,1963000.0,2.32,0.93
1991-11-26,252.9,252.97,250.85,252.97,245400,2326000.0,2.12,0.85
1991-11-27,255.27,255.45,252.97,255.45,212000,1756000.0,2.48,0.98
1991-11-28,257.28,257.35,255.45,257.35,250200,2251000.0,1.9,0.74
1991-11-29,259.68,259.85,257.35,259.6,3369500,28453000.0,2.25,0.87
1991-12-02,261.78,262.19,259.67,262.19,1912800,16310000.0,2.59,1.0
1991-12-03,264.64,264.81,262.19,264.81,110100,1207000.0,2.62,1.0
1991-12-04,265.53,265.77,264.81,265.77,74200,903000.0,0.96,0.36
1991-12-05,266.48,266.66,265.77,266.66,205000,2100000.0,0.89,0.33
1991-12-06,269.34,269.35,266.66,269.35,161300,1798000.0,2.69,1.01
1991-12-09,270.27,270.27,269.35,270.27,163100,1648000.0,0.92,0.34
1991-12-10,270.27,272.91,270.27,272.91,51600,665000.0,2.64,0.98
1991-12-11,273.53,273.71,272.91,273.71,66900,859000.0,0.8,0.29
1991-12-12,274.41,274.41,273.71,274.41,157700,1644000.0,0.7,0.26
1991-12-13,276.81,277.0,274.41,277.0,74600,962000.0,2.59,0.94
1991-12-16,277.53,277.85,277.0,277.85,58000,817000.0,0.85,0.31
1991-12-17,278.67,278.68,277.85,278.68,49300,754000.0,0.83,0.3
1991-12-18,279.32,279.51,278.68,279.51,76000,893000.0,0.83,0.3
1991-12-19,279.98,280.17,279.51,280.17,109400,1242000.0,0.66,0.24
1991-12-20,282.83,282.83,280.63,282.83,439300,6268000.0,2.66,0.95
1991-12-23,285.65,285.65,282.83,285.65,104600,1182000.0,2.82,1.0
1991-12-24,285.74,286.22,285.65,286.22,48600,593000.0,0.57,0.2
1991-12-25,287.09,287.15,286.22,287.15,57300,873000.0,0.93,0.32
1991-12-26,288.03,288.03,287.15,288.03,116800,1422000.0,0.88,0.31
1991-12-27,290.65,290.85,288.03,290.85,155100,1789000.0,2.82,0.98
1991-12-30,291.71,291.71,290.85,291.71,116500,1881000.0,0.86,0.3
1991-12-31,292.48,292.75,291.71,292.75,58400,858000.0,1.04,0.36
1992-01-02,293.74,293.75,292.76,293.75,92800,1339000.0,1.0,0.34
1992-01-03,296.24,296.52,293.75,296.52,143600,1842000.0,2.77,0.94
1992-01-06,297.68,297.68,296.52,297.68,340000,4236000.0,1.16,0.39
1992-01-07,298.54,298.77,297.68,298.77,89200,1064000.0,1.09,0.37
1992-01-08,299.65,299.66,298.77,299.66,65900,930000.0,0.89,0.3
1992-01-09,300.61,300.62,299.66,300.62,94300,1244000.0,0.96,0.32
1992-01-10,301.82,301.83,300.62,301.83,160500,2629000.0,1.21,0.4
1992-01-13,302.83,303.06,302.0,303.06,72500,1097000.0,1.23,0.41
1992-01-14,304.77,305.74,303.06,305.74,63200,858000.0,2.68,0.88
1992-01-15,306.62,306.63,305.74,306.63,25900,314000.0,0.89,0.29
1992-01-16,306.85,306.85,306.63,306.85,37800,488000.0,0.22,0.07
1992-01-17,307.37,307.38,306.85,307.38,25000,321000.0,0.53,0.17
1992-01-20,307.38,307.39,307.38,307.39,44500,502000.0,0.01,0.0
1992-01-21,307.87,307.87,307.39,307.87,53400,650000.0,0.48,0.16
1992-01-22,307.95,307.95,307.87,307.95,31200,439000.0,0.08,0.03
1992-01-23,308.53,308.53,307.95,308.53,41300,583000.0,0.58,0.19
1992-01-24,309.05,309.05,308.53,309.05,72200,1004000.0,0.52,0.17
1992-01-27,311.6,311.61,309.05,311.61,56200,750000.0,2.56,0.83
1992-01-28,311.67,311.84,311.61,311.84,66400,822000.0,0.23,0.07
1992-01-29,312.41,312.58,311.84,312.42,40100,450000.0,0.58,0.19
1992-01-30,312.73,312.73,312.42,312.73,39100,543000.0,0.31,0.1
1992-01-31,313.24,313.24,312.73,313.24,35400,586000.0,0.51,0.16
1992-02-03,314.18,314.18,313.24,314.18,30500,583000.0,0.94,0.3
1992-02-07,314.72,314.72,314.18,314.72,32700,527000.0,0.54,0.17
1992-02-10,315.55,315.56,314.72,315.56,35400,586000.0,0.84,0.27
1992-02-11,316.12,316.43,315.56,316.43,29600,460000.0,0.87,0.28
1992-02-12,316.43,316.44,316.43,316.44,27000,397000.0,0.01,0.0
1992-02-13,317.24,317.57,317.04,317.04,102000,1680000.0,0.6,0.19
1992-02-14,319.45,319.68,317.04,319.68,45700,770000.0,2.64,0.83
1992-02-17,319.77,319.77,319.68,319.77,636900,13782000.0,0.09,0.03
1992-02-18,338.98,339.16,319.77,337.11,740700,12655000.0,17.34,5.42
1992-02-19,340.5,342.41,337.11,342.41,940100,16501000.0,5.3,1.57
1992-02-20,345.22,348.01,342.41,347.99,1034100,20004000.0,5.58,1.63
1992-02-21,358.91,359.93,347.99,359.59,1158200,19254000.0,11.6,3.33
1992-02-24,361.11,361.62,359.59,360.5,3015700,18038000.0,0.91,0.25
1992-02-25,359.66,361.29,357.07,360.37,486200,8037000.0,-0.13,-0.04
1992-02-26,359.85,360.76,359.27,360.1,575300,8082000.0,-0.27,-0.07
1992-02-27,361.0,363.03,360.1,362.45,952400,17931000.0,2.35,0.65
1992-02-28,364.15,364.67,362.45,364.66,986200,26401000.0,2.21,0.61
1992-03-02,365.15,365.39,364.66,365.39,340500,5644000.0,0.73,0.2
1992-03-03,366.79,367.25,365.39,367.0,298900,3366000.0,1.61,0.44
1992-03-04,367.56,368.32,366.95,368.32,561400,10360000.0,1.32,0.36
1992-03-05,369.31,369.88,368.11,369.76,836000,14928000.0,1.44,0.39
1992-03-06,370.79,371.76,369.76,371.76,523700,9958000.0,2.0,0.54
1992-03-09,372.26,374.06,371.88,373.53,2096800,22273000.0,1.77,0.48
1992-03-10,374.48,375.23,373.53,375.23,501100,7452000.0,1.7,0.46
1992-03-11,375.87,376.25,374.98,376.14,400100,11238000.0,0.91,0.24
1992-03-12,377.55,377.57,376.14,376.92,1032600,31594000.0,0.78,0.21
1992-03-13,376.58,377.19,376.38,376.38,252700,4487000.0,-0.54,-0.14
1992-03-16,377.0,377.42,376.38,377.05,264600,2265000.0,0.67,0.18
1992-03-17,377.5,377.84,377.03,377.49,89000,1340000.0,0.44,0.12
1992-03-18,377.94,378.32,377.49,377.66,402800,2252000.0,0.17,0.05
1992-03-19,377.26,377.96,376.21,377.31,1362800,35111000.0,-0.35,-0.09
1992-03-20,377.91,378.03,377.31,377.99,316000,7844000.0,0.68,0.18
1992-03-23,378.61,379.04,377.45,378.89,1029000,24375000.0,0.9,0.24
1992-03-24,378.53,379.5,378.05,378.69,437800,7016000.0,-0.2,-0.05
1992-03-25,378.33,379.02,378.12,378.12,1182000,21445000.0,-0.57,-0.15
1992-03-26,379.29,379.34,377.64,379.13,1022500,24177000.0,1.01,0.27
1992-03-27,379.65,380.79,379.13,380.77,189200,5469000.0,1.64,0.43
1992-03-30,381.54,381.56,380.76,381.44,1265500,40359000.0,0.67,0.18
1992-03-31,381.87,382.06,381.24,381.24,1739100,53853000.0,-0.2,-0.05
1992-04-01,381.55,381.85,381.01,381.01,406500,7767000.0,-0.23,-0.06
1992-04-02,381.47,381.58,381.01,381.12,167300,3193000.0,0.11,0.03
1992-04-03,381.44,381.57,381.12,381.33,170000,3377000.0,0.21,0.06
1992-04-06,381.97,382.08,381.33,381.47,529800,14543000.0,0.14,0.04
1992-04-07,381.95,382.1,381.47,381.93,1061300,30266000.0,0.46,0.12
1992-04-08,382.53,382.59,381.92,382.43,186600,5277000.0,0.5,0.13
1992-04-09,381.93,382.88,381.65,381.65,316800,7148000.0,-0.78,-0.2
1992-04-10,381.52,382.04,381.2,382.03,706600,13499000.0,0.38,0.1
1992-04-13,387.27,392.28,382.03,391.11,2059300,52440000.0,9.08,2.38
1992-04-14,393.1,400.61,391.1,400.61,941500,25184000.0,9.5,2.43
1992-04-15,400.35,406.72,398.23,406.72,1056600,25157000.0,6.11,1.53
1992-04-16,404.07,410.61,403.52,410.55,3921100,57466000.0,3.83,0.94
1992-04-17,408.56,414.42,406.19,414.42,1567800,45102000.0,3.87,0.94
1992-04-20,417.19,420.99,413.64,413.85,1017000,23206000.0,-0.57,-0.14
1992-04-21,417.99,421.55,402.89,410.06,5125700,72181000.0,-3.79,-0.92
1992-04-22,400.12,410.06,399.87,399.88,5059600,73539000.0,-10.18,-2.48
1992-04-23,407.13,408.86,394.6,407.25,5471800,71062000.0,7.37,1.84
1992-04-24,405.88,415.05,397.74,414.4,3470600,47646000.0,7.15,1.76
1992-04-27,422.45,424.92,413.47,424.58,3725700,53584000.0,10.18,2.46
1992-04-28,434.9,436.31,424.58,436.09,4239200,53950000.0,11.51,2.71
1992-04-29,445.25,446.12,436.09,444.16,5289900,66766000.0,8.07,1.85
1992-04-30,435.73,448.94,433.66,445.38,4570400,52587000.0,1.22,0.27
1992-05-04,454.86,456.24,445.38,453.62,6436200,101358000.0,8.24,1.85
1992-05-05,447.42,455.36,439.96,449.21,4935900,78293000.0,-4.41,-0.97
1992-05-06,449.78,454.08,446.39,449.96,3368700,54371000.0,0.75,0.17
1992-05-07,452.86,457.05,449.55,454.65,3441400,51743000.0,4.69,1.04
1992-05-08,461.05,468.42,454.65,468.11,4863400,84729000.0,13.46,2.96
1992-05-11,483.29,491.5,468.11,491.5,3095000,60650000.0,23.39,5.0
1992-05-12,502.8,506.68,491.5,506.53,3327800,65369000.0,15.03,3.06
1992-05-13,505.27,517.86,499.4,514.04,3389700,64664000.0,7.51,1.48
1992-05-14,514.48,523.5,511.91,523.36,3301000,60063000.0,9.32,1.81
1992-05-15,529.39,544.56,523.36,544.35,6328300,75109000.0,20.99,4.01
1992-05-18,560.09,571.85,544.35,571.82,2999200,61340000.0,27.47,5.05
